indicator,indicator_name,road,SMAPE_ETS,SMAPE_CatBoost,Improvement_%
LOSS_3_COUNT,Количество отказов в работе технических средств по 3 категории,Горьковская,5.8934,1.9027,67.71
LOSS_3_COUNT,Количество отказов в работе технических средств по 3 категории,Дальневосточная,6.6794,6.3358,5.14
LOSS_3_COUNT,Количество отказов в работе технических средств по 3 категории,Забайкальская,6.3361,3.9243,38.06
LOSS_3_COUNT,Количество отказов в работе технических средств по 3 категории,Западно-Сибирская,6.4632,4.836,25.18
LOSS_3_COUNT,Количество отказов в работе технических средств по 3 категории,Калининградская,6.9528,5.4342,21.84
LOSS_3_COUNT,Количество отказов в работе технических средств по 3 категории,Красноярская,5.9965,4.4078,26.49
LOSS_3_COUNT,Количество отказов в работе технических средств по 3 категории,Куйбышевская,7.0861,5.5854,21.18
LOSS_3_COUNT,Количество отказов в работе технических средств по 3 категории,Московская,7.0297,4.137,41.15
LOSS_3_COUNT,Количество отказов в работе технических средств по 3 категории,Октябрьская,5.7115,3.4061,40.36
LOSS_3_COUNT,Количество отказов в работе технических средств по 3 категории,Приволжская,6.0937,3.6979,39.32
LOSS_3_COUNT,Количество отказов в работе технических средств по 3 категории,Свердловская,6.712,2.7516,59.0
LOSS_3_COUNT,Количество отказов в работе технических средств по 3 категории,Северная,6.415,5.1886,19.12
LOSS_3_COUNT,Количество отказов в работе технических средств по 3 категории,Северо-Кавказская,5.6668,3.4384,39.32
LOSS_3_COUNT,Количество отказов в работе технических средств по 3 категории,Юго-Восточная,3.0168,3.0365,-0.65
LOSS_3_COUNT,Количество отказов в работе технических средств по 3 категории,Южно-Уральская,6.4818,4.6135,28.82
LOSS_3_SUM,Потери поездо-часов из-за отказов в работе технических средств по 3 категории,Восточно-Сибирская,6.4182,5.644,12.06
LOSS_3_SUM,Потери поездо-часов из-за отказов в работе технических средств по 3 категории,Горьковская,7.1877,5.1534,28.3
LOSS_3_SUM,Потери поездо-часов из-за отказов в работе технических средств по 3 категории,Дальневосточная,10.341,6.1867,40.17
LOSS_3_SUM,Потери поездо-часов из-за отказов в работе технических средств по 3 категории,Забайкальская,7.1788,4.0731,43.26
LOSS_3_SUM,Потери поездо-часов из-за отказов в работе технических средств по 3 категории,Западно-Сибирская,10.2788,5.111,50.28
LOSS_3_SUM,Потери поездо-часов из-за отказов в работе технических средств по 3 категории,Калининградская,7.0399,8.3497,-18.6
LOSS_3_SUM,Потери поездо-часов из-за отказов в работе технических средств по 3 категории,Красноярская,7.4399,5.753,22.67
LOSS_3_SUM,Потери поездо-часов из-за отказов в работе технических средств по 3 категории,Куйбышевская,9.4613,4.5443,51.97
LOSS_3_SUM,Потери поездо-часов из-за отказов в работе технических средств по 3 категории,Московская,8.6471,7.219,16.52
LOSS_3_SUM,Потери поездо-часов из-за отказов в работе технических средств по 3 категории,Октябрьская,7.5357,5.0841,32.53
LOSS_3_SUM,Потери поездо-часов из-за отказов в работе технических средств по 3 категории,Приволжская,9.108,3.3846,62.84
LOSS_3_SUM,Потери поездо-часов из-за отказов в работе технических средств по 3 категории,Свердловская,7.3299,4.2984,41.36
LOSS_3_SUM,Потери поездо-часов из-за отказов в работе технических средств по 3 категории,Северная,10.2572,5.7017,44.41
LOSS_3_SUM,Потери поездо-часов из-за отказов в работе технических средств по 3 категории,Северо-Кавказская,10.1247,4.8649,51.95
LOSS_3_SUM,Потери поездо-часов из-за отказов в работе технических средств по 3 категории,Юго-Восточная,8.2053,6.7392,17.87
LOSS_3_SUM,Потери поездо-часов из-за отказов в работе технических средств по 3 категории,Южно-Уральская,6.1429,3.7033,39.71
LOSS_TECH_COUNT,Количество технологических нарушений,Восточно-Сибирская,6.9412,4.1689,39.94
LOSS_TECH_COUNT,Количество технологических нарушений,Горьковская,4.0692,3.7052,8.95
LOSS_TECH_COUNT,Количество технологических нарушений,Дальневосточная,7.5975,3.7476,50.67
LOSS_TECH_COUNT,Количество технологических нарушений,Забайкальская,6.8242,4.1957,38.52
LOSS_TECH_COUNT,Количество технологических нарушений,Западно-Сибирская,3.7315,3.374,9.58
LOSS_TECH_COUNT,Количество технологических нарушений,Калининградская,8.9336,7.7252,13.53
LOSS_TECH_COUNT,Количество технологических нарушений,Красноярская,5.2226,2.9443,43.62
LOSS_TECH_COUNT,Количество технологических нарушений,Куйбышевская,4.3328,2.692,37.87
LOSS_TECH_COUNT,Количество технологических нарушений,Московская,5.1106,2.4299,52.45
LOSS_TECH_COUNT,Количество технологических нарушений,Октябрьская,4.2136,1.8277,56.62
LOSS_TECH_COUNT,Количество технологических нарушений,Приволжская,9.0999,2.5204,72.3
LOSS_TECH_COUNT,Количество технологических нарушений,Свердловская,6.2239,2.6392,57.6
LOSS_TECH_COUNT,Количество технологических нарушений,Северная,5.1795,3.0752,40.63
LOSS_TECH_COUNT,Количество технологических нарушений,Северо-Кавказская,6.0285,2.8586,52.58
LOSS_TECH_COUNT,Количество технологических нарушений,Юго-Восточная,3.9843,3.2138,19.34
LOSS_TECH_COUNT,Количество технологических нарушений,Южно-Уральская,4.6418,3.6395,21.59
LOSS_TECH_SUM,Потери поездо-часов из-за технологических нарушений,Восточно-Сибирская,9.0353,2.4292,73.11
LOSS_TECH_SUM,Потери поездо-часов из-за технологических нарушений,Горьковская,7.3662,5.1742,29.76
LOSS_TECH_SUM,Потери поездо-часов из-за технологических нарушений,Дальневосточная,8.6123,2.2902,73.41
LOSS_TECH_SUM,Потери поездо-часов из-за технологических нарушений,Забайкальская,8.6104,5.0467,41.39
LOSS_TECH_SUM,Потери поездо-часов из-за технологических нарушений,Западно-Сибирская,9.3552,6.1303,34.47
LOSS_TECH_SUM,Потери поездо-часов из-за технологических нарушений,Калининградская,9.7319,7.8025,19.83
LOSS_TECH_SUM,Потери поездо-часов из-за технологических нарушений,Красноярская,9.6838,4.6757,51.72
LOSS_TECH_SUM,Потери поездо-часов из-за технологических нарушений,Куйбышевская,6.875,3.8299,44.29
LOSS_TECH_SUM,Потери поездо-часов из-за технологических нарушений,Московская,8.1154,2.4407,69.93
LOSS_TECH_SUM,Потери поездо-часов из-за технологических нарушений,Октябрьская,9.1534,3.3607,63.28
LOSS_TECH_SUM,Потери поездо-часов из-за технологических нарушений,Приволжская,6.155,3.6125,41.31
