indicator,indicator_name,road,SMAPE_ETS,SMAPE_CatBoost,Improvement_%
LOSS_TECH,Технологические нарушения (количество и потери поездо-часов),Дальневосточная,77.4244,1.9291,97.51
LOSS_TECH,Технологические нарушения (количество и потери поездо-часов),Забайкальская,98.0852,2.3438,97.61
LOSS_TECH,Технологические нарушения (количество и потери поездо-часов),Западно-Сибирская,74.7841,2.4296,96.75
LOSS_TECH,Технологические нарушения (количество и потери поездо-часов),Калининградская,108.5067,130.0853,-19.89
LOSS_TECH,Технологические нарушения (количество и потери поездо-часов),Красноярская,82.5318,2.827,96.57
LOSS_TECH,Технологические нарушения (количество и потери поездо-часов),Куйбышевская,78.1052,2.0192,97.41
LOSS_TECH,Технологические нарушения (количество и потери поездо-часов),Московская,134.4272,2.1981,98.36
LOSS_TECH,Технологические нарушения (количество и потери поездо-часов),Октябрьская,93.0053,1.6223,98.26
LOSS_TECH,Технологические нарушения (количество и потери поездо-часов),Приволжская,96.0162,1.6564,98.27
LOSS_TECH,Технологические нарушения (количество и потери поездо-часов),Свердловская,95.5188,1.7064,98.21
LOSS_TECH,Технологические нарушения (количество и потери поездо-часов),Северная,100.6142,3.1402,96.88
LOSS_TECH,Технологические нарушения (количество и потери поездо-часов),Северо-Кавказская,76.5141,2.6773,96.5
LOSS_TECH,Технологические нарушения (количество и потери поездо-часов),Юго-Восточная,108.3071,5.2326,95.17
LOSS_TECH,Технологические нарушения (количество и потери поездо-часов),Южно-Уральская,87.9911,1.7536,98.01
