ROAD_NAME,YEAR,MONTH,TRAIN_KM,TRAIN_KM_lower_95,TRAIN_KM_upper_95,LOSS_12_COUNT,LOSS_12_COUNT_lower_95,LOSS_12_COUNT_upper_95,LOSS_12_SUM,LOSS_12_SUM_lower_95,LOSS_12_SUM_upper_95,LOSS_3_COUNT,LOSS_3_COUNT_lower_95,LOSS_3_COUNT_upper_95,LOSS_3_SUM,LOSS_3_SUM_lower_95,LOSS_3_SUM_upper_95,LOSS_TECH_COUNT,LOSS_TECH_COUNT_lower_95,LOSS_TECH_COUNT_upper_95,LOSS_TECH_SUM,LOSS_TECH_SUM_lower_95,LOSS_TECH_SUM_upper_95,LOSS_COUNT_TOTAL,LOSS_COUNT_TOTAL_lower_95,LOSS_COUNT_TOTAL_upper_95,LOSS_SUM_TOTAL,LOSS_SUM_TOTAL_lower_95,LOSS_SUM_TOTAL_upper_95,SPECIFIC_LOSS,SPECIFIC_LOSS_lower_95,SPECIFIC_LOSS_upper_95
Восточно-Сибирская,2025,1,8740854.458598794,8523155.297346408,8958553.619851181,679,612,745,1747.7356347205248,1368.4083870451439,2127.062882395906,1978,1724,2233,122.09954871115983,107.56868437442459,136.63041304789505,599,530,667,683.7391080562845,575.5910920843811,791.8871240281879,3256,3093,3419,2553.5742914879693,2425.8955769135705,2681.253006062368,292.1424105140999,277.5352899883949,306.7495310398049
Восточно-Сибирская,2025,2,8545224.44822193,8327525.2869695425,8762923.609474316,626,560,692,1722.6318633488106,1343.3046156734297,2101.9591110241918,1998,1743,2252,115.73812546861626,101.20726113188103,130.2689898053515,566,498,635,632.5357915163788,524.3877755444754,740.6838074882822,3190,3030,3350,2470.9057803338055,2347.3604913171152,2594.451069350496,289.1563346645559,274.6985179313281,303.6141513977837
Восточно-Сибирская,2025,3,8973685.042407455,8755985.881155068,9191384.203659842,597,531,663,1610.6388244165955,1231.3115767412146,1989.9660720919765,1720,1465,1974,112.50868649857134,97.9778221618361,127.03955083530657,523,454,591,557.4026781749276,449.25466220302417,665.550694146831,2840,2698,2982,2280.550189090094,2166.522679635589,2394.577698544599,254.13753416938172,241.4306574609126,266.8444108778508
Восточно-Сибирская,2025,4,9141823.176553084,8924124.015300697,9359522.33780547,548,481,614,1459.1371934246818,1079.8099457493008,1838.4644411000627,1603,1348,1857,103.018224352162,88.48736001542676,117.54908868889723,492,423,561,545.9621664936124,437.81415052170894,654.1101824655158,2643,2511,2775,2108.117584270456,2002.7117050569332,2213.523463483979,230.60143951125076,219.0713675356882,242.1315114868133
Восточно-Сибирская,2025,5,9398107.126485435,9180407.965233048,9615806.287737822,455,389,521,1316.040239356062,936.7129916806812,1695.367487031443,1446,1191,1701,91.96463111292928,77.43376677619405,106.49549544966452,441,372,510,490.38493746494015,382.23692149303673,598.5329534368436,2342,2225,2459,1898.3898079339315,1803.470317537235,1993.309298330628,201.99703859343674,191.8971866637649,212.09689052310858
Восточно-Сибирская,2025,6,9409438.422775773,9191739.261523386,9627137.58402816,475,409,541,1276.1173822545834,896.7901345792025,1655.4446299299643,1499,1245,1754,84.14917204765229,69.61830771091705,98.68003638438752,435,367,504,435.14826667840805,327.00025070650463,543.2962826503115,2409,2289,2529,1795.4148209806435,1705.6440799316113,1885.1855620296758,190.80998677187776,181.26948743328387,200.35048611047165
Восточно-Сибирская,2025,7,9557737.00090098,9340037.839648593,9775436.162153367,457,390,523,1179.5760349588068,800.2487872834258,1558.9032826341877,1392,1137,1646,88.26547174513827,73.73460740840304,102.7963360818735,411,342,479,454.93909383674725,346.7910778648438,563.0871098086507,2260,2147,2373,1722.7806005406924,1636.6415705136576,1808.9196305677272,180.24984370027036,171.23735151525685,189.26233588528387
Восточно-Сибирская,2025,8,9488276.712076407,9270577.55082402,9705975.873328794,466,400,532,1290.6234860530872,911.2962383777062,1669.950733728468,1433,1179,1688,87.46941852938801,72.93855419265277,102.00028286612324,415,346,484,469.1446603436828,360.9966443717794,577.2926763155863,2314,2198,2430,1847.2375649261578,1754.8756866798499,1939.5994431724657,194.68630827082086,184.9519928572798,204.4206236843619
Восточно-Сибирская,2025,9,9469016.677554708,9251317.516302321,9686715.838807095,512,445,578,1312.2332932279364,932.9060455525555,1691.5605409033174,1545,1290,1799,94.5671655237952,80.03630118705996,109.09802986053043,455,386,523,537.1813752759865,429.0333593040831,645.3293912478899,2512,2386,2638,1943.9818340277182,1846.7827423263323,2041.180925729104,205.2992301339715,195.0342686272729,215.5641916406701
Восточно-Сибирская,2025,10,9324222.274750551,9106523.113498164,9541921.436002938,532,466,599,1425.074332220235,1045.747084544854,1804.401579895616,1632,1377,1887,101.40432453460785,86.87346019787262,115.93518887134309,502,434,571,535.9028847074275,427.75486873552404,644.0509006793309,2666,2533,2799,2062.3815414622704,1959.2624643891568,2165.500618535384,221.18536867649317,210.1261002426685,232.24463711031783
