indicator,road,MAPE_%,SMAPE_%,n_trees,test_year
TRAIN_KM,Восточно-Сибирская,0.6955403193469535,0.6942646561967802,1662,2024
TRAIN_KM,Горьковская,0.9410748325361126,0.939092962513831,1662,2024
TRAIN_KM,Дальневосточная,0.56664642028302,0.5655093428402931,1662,2024
TRAIN_KM,Забайкальская,0.9528445689336766,0.9581750932598635,1662,2024
TRAIN_KM,Западно-Сибирская,0.8612595234292142,0.8635786175625663,1662,2024
TRAIN_KM,Калининградская,33.53199433077561,27.749320404091275,1662,2024
TRAIN_KM,Красноярская,1.3394480770929298,1.333944287004348,1662,2024
TRAIN_KM,Куйбышевская,0.6628815983007696,0.6613925802787509,1662,2024
TRAIN_KM,Московская,1.2102237875939517,1.2176318299816906,1662,2024
TRAIN_KM,Октябрьская,1.2495580855978248,1.2613723286543068,1662,2024
TRAIN_KM,Приволжская,5.157474991087,5.311600409758102,1662,2024
TRAIN_KM,Свердловская,0.9831275810674617,0.9834982065786757,1662,2024
TRAIN_KM,Северная,0.9596147825565526,0.9650107984115552,1662,2024
TRAIN_KM,Северо-Кавказская,0.5099710151186981,0.5107797801737873,1662,2024
TRAIN_KM,Юго-Восточная,0.9241359458758253,0.9170128466336559,1662,2024
TRAIN_KM,Южно-Уральская,0.9445846775413035,0.9388206844369642,1662,2024
LOSS_12_COUNT,Восточно-Сибирская,2.5309527009924557,2.5843077397468313,1200,2024
LOSS_12_COUNT,Горьковская,2.381089302089854,2.339196099842393,1200,2024
LOSS_12_COUNT,Дальневосточная,3.7530969580504663,3.8378974786856457,1200,2024
LOSS_12_COUNT,Забайкальская,3.0863200129125397,3.1475181655061024,1200,2024
LOSS_12_COUNT,Западно-Сибирская,3.208305034076723,3.1437609548868304,1200,2024
LOSS_12_COUNT,Калининградская,208.64911568888496,97.34592146432334,1200,2024
LOSS_12_COUNT,Красноярская,2.2802236234342037,2.2372526289160004,1200,2024
LOSS_12_COUNT,Куйбышевская,4.200395772810847,4.240837041299226,1200,2024
LOSS_12_COUNT,Московская,1.8476547838034967,1.8290189208871055,1200,2024
LOSS_12_COUNT,Октябрьская,1.7465912930817378,1.7517698155006973,1200,2024
LOSS_12_COUNT,Приволжская,3.3956906007598633,3.3160797518173246,1200,2024
LOSS_12_COUNT,Свердловская,2.6574153424100735,2.6116815125803923,1200,2024
LOSS_12_COUNT,Северная,3.8730594940245986,3.7682683580334304,1200,2024
LOSS_12_COUNT,Северо-Кавказская,3.7152672266462705,3.6113448574794393,1200,2024
LOSS_12_COUNT,Юго-Восточная,3.1990135318418504,3.166194700100918,1200,2024
LOSS_12_COUNT,Южно-Уральская,3.8160651660186553,3.7214731149001805,1200,2024
LOSS_12_SUM,Восточно-Сибирская,6.751886811651381,6.6305916345286,1935,2024
LOSS_12_SUM,Горьковская,4.6289114866005825,4.409912063421057,1935,2024
LOSS_12_SUM,Дальневосточная,5.54251513025378,5.787614552825962,1935,2024
LOSS_12_SUM,Забайкальская,3.857211307230223,3.9148237403222463,1935,2024
LOSS_12_SUM,Западно-Сибирская,2.956752906740073,2.969296252398122,1935,2024
LOSS_12_SUM,Калининградская,1128.1808617387992,162.23423655572665,1935,2024
LOSS_12_SUM,Красноярская,4.260919654014095,4.151369175951412,1935,2024
LOSS_12_SUM,Куйбышевская,4.33586424906433,4.2642777286991205,1935,2024
LOSS_12_SUM,Московская,3.1609297780385917,3.1847453328458912,1935,2024
LOSS_12_SUM,Октябрьская,3.387966489671629,3.4745881360468243,1935,2024
LOSS_12_SUM,Приволжская,4.181068740390773,4.026149783068159,1935,2024
LOSS_12_SUM,Свердловская,1.6996085841957265,1.7066276893171015,1935,2024
LOSS_12_SUM,Северная,4.628584787372002,4.494150918240025,1935,2024
LOSS_12_SUM,Северо-Кавказская,7.011907125362374,6.6741096822474795,1935,2024
LOSS_12_SUM,Юго-Восточная,11.984742324010643,10.72820083075925,1935,2024
LOSS_12_SUM,Южно-Уральская,1.8485476710016078,1.81775348813354,1935,2024
LOSS_3_COUNT,Восточно-Сибирская,1.2736066497044765,1.2748229116449572,1999,2024
LOSS_3_COUNT,Горьковская,1.154566916717962,1.162271902536524,1999,2024
LOSS_3_COUNT,Дальневосточная,1.307070693706801,1.3117019665431666,1999,2024
LOSS_3_COUNT,Забайкальская,2.571911159011596,2.5487719045834467,1999,2024
LOSS_3_COUNT,Западно-Сибирская,1.7565872517633232,1.7348979718507351,1999,2024
